Name	Surname	ND1	ND2	ND3	ND4	ND5	EGZ
Name203	Surname203	3	2	6	5	5	5
Name204	Surname204	3	6	1	5	3	2
Name205	Surname205	3	8	8	10	6	6
Name206	Surname206	5	1	4	5	2	3
Name207	Surname207	3	10	9	3	3	8
Name208	Surname208	9	6	9	4	10	5
Name209	Surname209	5	7	10	9	6	7
Name210	Surname210	7	1	8	3	8	3
Name211	Surname211	7	5	8	2	4	3
Name212	Surname212	2	7	4	9	4	3
Name213	Surname213	9	7	1	2	3	7
Name214	Surname214	1	6	5	7	8	10
Name215	Surname215	4	5	8	9	9	2
Name216	Surname216	7	4	9	8	7	2
Name217	Surname217	8	3	4	8	9	6
Name218	Surname218	9	6	9	8	4	4
Name219	Surname219	2	1	9	2	1	10
Name220	Surname220	3	5	10	2	6	8
Name221	Surname221	4	4	5	3	3	1
Name222	Surname222	2	3	8	8	1	3
Name223	Surname223	5	2	1	4	8	4
Name224	Surname224	10	6	10	8	3	1
Name225	Surname225	3	9	7	8	1	9
Name226	Surname226	2	9	4	1	4	7
Name227	Surname227	3	1	3	9	5	2
Name228	Surname228	9	4	8	6	9	2
Name229	Surname229	8	1	5	9	9	2
Name230	Surname230	4	7	8	9	10	6
Name231	Surname231	6	6	7	7	4	1
Name232	Surname232	1	9	9	3	4	1
Name233	Surname233	7	6	1	10	8	3
Name234	Surname234	3	9	3	10	5	5
Name235	Surname235	9	3	8	3	6	9
Name236	Surname236	5	8	4	10	6	2
Name237	Surname237	10	1	3	9	4	2
Name238	Surname238	5	4	2	1	5	1
Name239	Surname239	8	10	1	9	2	5
Name240	Surname240	1	8	10	6	4	9
Name241	Surname241	3	4	3	2	1	5
Name242	Surname242	1	8	6	10	1	6
Name243	Surname243	2	3	1	10	9	10
Name244	Surname244	2	8	4	4	1	8
Name245	Surname245	7	7	1	3	9	10
Name246	Surname246	9	10	10	10	5	3
Name247	Surname247	1	9	8	9	8	4
Name248	Surname248	1	8	7	5	3	2
Name249	Surname249	10	2	7	1	4	4
Name250	Surname250	7	3	3	2	5	4
Name251	Surname251	3	7	1	6	5	10
Name252	Surname252	7	1	9	3	8	5
Name253	Surname253	1	8	7	1	2	3
Name254	Surname254	10	4	9	6	2	6
Name255	Surname255	7	7	9	9	10	9
Name256	Surname256	8	1	8	10	2	6
Name257	Surname257	9	7	4	10	5	6
Name258	Surname258	4	9	3	4	10	5
Name259	Surname259	9	6	2	4	3	9
Name260	Surname260	2	7	5	7	8	8
Name261	Surname261	10	7	5	2	10	3
Name262	Surname262	7	4	2	6	10	8
Name263	Surname263	1	3	7	2	8	7
Name264	Surname264	3	6	4	5	1	8
Name265	Surname265	6	6	4	2	9	9
Name266	Surname266	9	1	2	8	6	1
Name267	Surname267	6	10	1	10	4	6
Name268	Surname268	5	3	8	3	7	8
Name269	Surname269	3	3	1	2	2	8
Name270	Surname270	6	10	2	9	2	8
Name271	Surname271	9	7	7	10	10	3
Name272	Surname272	7	7	6	9	5	1
Name273	Surname273	4	8	9	4	2	2
Name274	Surname274	3	6	8	7	3	2
Name275	Surname275	7	2	2	6	8	5
Name276	Surname276	9	6	7	5	10	9
Name277	Surname277	5	4	3	6	4	9
Name278	Surname278	4	3	8	1	7	9
Name279	Surname279	1	2	2	10	6	4
Name280	Surname280	7	4	2	6	4	5
Name281	Surname281	1	4	2	8	10	1
Name282	Surname282	4	6	3	10	2	3
Name283	Surname283	7	2	8	1	2	6
Name284	Surname284	3	3	10	1	6	2
Name285	Surname285	9	4	7	9	9	7
Name286	Surname286	2	7	7	8	1	5
Name287	Surname287	10	9	10	5	10	9
Name288	Surname288	8	6	7	5	9	7
Name289	Surname289	9	8	9	1	10	6
Name290	Surname290	7	10	1	1	2	4
Name291	Surname291	6	6	9	1	2	8
Name292	Surname292	8	5	7	8	1	8
Name293	Surname293	5	2	3	2	9	4
Name294	Surname294	6	8	2	5	8	7
Name295	Surname295	9	3	4	1	3	8
Name296	Surname296	9	9	6	10	8	2
Name297	Surname297	4	5	8	2	4	8
Name298	Surname298	2	3	8	6	4	5
Name299	Surname299	5	6	6	2	5	2
Name300	Surname300	3	7	7	4	4	1
Name301	Surname301	1	9	2	4	9	2
Name302	Surname302	7	10	9	1	2	4
Name303	Surname303	10	4	10	4	7	6
Name304	Surname304	6	5	1	6	1	7
Name305	Surname305	6	6	2	9	10	7
Name306	Surname306	3	3	6	1	6	3
Name307	Surname307	6	3	1	7	8	3
Name308	Surname308	9	1	1	7	9	4
Name309	Surname309	1	7	5	4	8	1
Name310	Surname310	6	3	1	8	6	7
Name311	Surname311	2	9	2	9	6	7
Name312	Surname312	6	10	3	7	6	3
Name313	Surname313	4	3	2	3	3	9
Name314	Surname314	9	9	8	5	1	1
Name315	Surname315	6	10	10	6	4	1
Name316	Surname316	10	10	6	2	2	2
Name317	Surname317	3	4	4	10	8	3
Name318	Surname318	4	4	1	5	9	5
Name319	Surname319	4	10	3	5	10	1
Name320	Surname320	6	8	5	8	7	7
Name321	Surname321	4	1	10	1	9	1
Name322	Surname322	2	6	2	1	4	10
Name323	Surname323	6	9	10	7	3	6
Name324	Surname324	8	7	4	9	6	10
Name325	Surname325	4	1	3	6	2	6
Name326	Surname326	8	8	10	5	2	8
Name327	Surname327	9	6	8	9	9	5
Name328	Surname328	3	4	9	5	2	4
Name329	Surname329	1	5	2	8	8	3
Name330	Surname330	2	4	2	4	2	6
Name331	Surname331	2	6	1	6	2	3
Name332	Surname332	3	2	6	6	4	9
Name333	Surname333	10	3	9	5	3	8
Name334	Surname334	6	9	5	1	10	5
Name335	Surname335	5	4	6	9	5	2
Name336	Surname336	1	4	4	5	1	7
Name337	Surname337	8	6	6	7	1	10
Name338	Surname338	9	4	6	8	10	1
Name339	Surname339	5	9	8	5	1	3
Name340	Surname340	4	6	5	2	7	7
Name341	Surname341	5	6	3	10	2	3
Name342	Surname342	5	10	10	4	8	7
Name343	Surname343	6	9	8	9	10	8
Name344	Surname344	8	2	7	6	1	2
Name345	Surname345	4	3	7	1	6	8
Name346	Surname346	5	5	10	1	7	2
Name347	Surname347	2	10	1	5	3	2
Name348	Surname348	10	8	1	10	4	4
Name349	Surname349	4	2	4	6	7	10
Name350	Surname350	6	10	9	9	4	10
Name351	Surname351	6	2	4	7	3	9
Name352	Surname352	9	2	10	9	2	4
Name353	Surname353	4	5	4	10	3	8
Name354	Surname354	3	2	8	7	2	8
Name355	Surname355	4	1	7	1	3	6
Name356	Surname356	7	1	8	3	1	10
Name357	Surname357	6	5	4	3	6	7
Name358	Surname358	1	9	9	2	6	8
Name359	Surname359	6	8	10	3	4	8
Name360	Surname360	3	8	10	4	7	4
Name361	Surname361	9	2	1	7	9	8
Name362	Surname362	7	6	2	3	10	6
Name363	Surname363	7	2	6	5	2	4
Name364	Surname364	9	6	1	10	3	2
Name365	Surname365	4	4	6	3	10	1
Name366	Surname366	5	9	6	8	4	4
Name367	Surname367	1	4	1	4	3	2
Name368	Surname368	2	1	9	2	9	8
Name369	Surname369	3	9	10	3	4	1
Name370	Surname370	3	9	3	6	6	9
Name371	Surname371	2	3	5	10	9	9
Name372	Surname372	3	8	2	8	10	6
Name373	Surname373	1	4	5	1	2	6
Name374	Surname374	4	5	3	4	3	10
Name375	Surname375	5	10	3	5	10	1
Name376	Surname376	5	5	10	9	6	4
Name377	Surname377	3	4	1	2	8	2
Name378	Surname378	10	9	9	4	3	10
Name379	Surname379	4	4	3	9	4	5
Name380	Surname380	1	3	1	2	3	2
Name381	Surname381	1	8	7	7	9	1
Name382	Surname382	6	9	9	10	6	8
Name383	Surname383	4	3	3	3	1	1
Name384	Surname384	3	4	2	7	9	8
Name385	Surname385	8	3	9	8	10	6
Name386	Surname386	10	3	10	2	4	1
Name387	Surname387	9	2	10	3	1	3
Name388	Surname388	5	8	6	9	2	1
Name389	Surname389	1	8	2	7	10	4
Name390	Surname390	1	4	8	4	1	5
Name391	Surname391	4	3	4	2	1	3
Name392	Surname392	8	8	2	4	1	8
Name393	Surname393	1	4	7	4	2	10
Name394	Surname394	6	7	2	6	2	1
Name395	Surname395	10	8	4	1	9	2
Name396	Surname396	6	2	8	2	8	10
Name397	Surname397	5	10	9	1	1	2
Name398	Surname398	9	6	1	9	10	3
Name399	Surname399	9	1	9	6	2	5
Name400	Surname400	8	4	7	2	7	9
Name401	Surname401	1	9	7	6	8	2
Name402	Surname402	1	3	9	4	6	6
Name403	Surname403	7	2	5	10	4	9
Name404	Surname404	4	3	4	4	8	4
Name405	Surname405	1	2	5	9	8	9
Name406	Surname406	10	9	10	8	10	2
Name407	Surname407	10	6	9	10	7	10
Name408	Surname408	4	4	2	5	2	5
Name409	Surname409	6	8	7	4	5	7
Name410	Surname410	4	9	4	5	3	8
Name411	Surname411	9	10	1	2	5	1
Name412	Surname412	8	4	5	10	5	6
Name413	Surname413	7	9	10	9	10	10
Name414	Surname414	8	1	9	5	6	7
Name415	Surname415	10	4	7	3	1	1
Name416	Surname416	7	6	2	7	2	10
Name417	Surname417	8	4	6	1	1	7
Name418	Surname418	6	2	9	3	8	3
Name419	Surname419	5	6	3	3	6	9
Name420	Surname420	7	10	9	4	6	6
Name421	Surname421	1	6	9	2	6	1
Name422	Surname422	8	4	5	2	6	7
Name423	Surname423	5	2	8	1	5	1
Name424	Surname424	7	2	1	6	6	3
Name425	Surname425	6	9	4	3	8	9
Name426	Surname426	6	3	8	3	10	8
Name427	Surname427	7	4	2	6	10	9
Name428	Surname428	10	6	5	10	6	3
Name429	Surname429	6	3	3	4	1	9
Name430	Surname430	8	3	9	4	8	6
Name431	Surname431	5	2	9	3	10	7
Name432	Surname432	9	10	9	2	7	4
Name433	Surname433	8	6	5	2	1	2
Name434	Surname434	3	3	9	6	5	7
Name435	Surname435	8	8	4	5	5	10
Name436	Surname436	2	9	4	9	8	10
Name437	Surname437	8	2	2	5	4	6
Name438	Surname438	3	10	2	6	6	7
Name439	Surname439	8	10	1	3	4	2
Name440	Surname440	10	9	8	9	5	5
Name441	Surname441	5	4	6	9	1	3
Name442	Surname442	10	5	10	9	4	6
Name443	Surname443	1	5	4	6	3	6
Name444	Surname444	8	8	8	5	5	1
Name445	Surname445	5	2	2	6	5	1
Name446	Surname446	3	9	7	9	2	5
Name447	Surname447	8	7	5	10	9	8
Name448	Surname448	4	9	7	3	9	1
Name449	Surname449	10	9	1	5	10	7
Name450	Surname450	9	3	9	5	8	10
Name451	Surname451	5	1	8	5	9	2
Name452	Surname452	9	3	3	2	5	7
Name453	Surname453	7	10	4	9	2	4
Name454	Surname454	7	5	6	3	3	1
Name455	Surname455	2	1	4	9	8	4
Name456	Surname456	4	2	5	6	7	2
Name457	Surname457	3	2	10	2	9	1
Name458	Surname458	5	8	8	5	2	2
Name459	Surname459	10	9	2	1	4	3
Name460	Surname460	6	1	4	3	3	7
Name461	Surname461	4	4	7	2	6	9
Name462	Surname462	3	2	10	4	10	8
Name463	Surname463	3	2	4	3	1	10
Name464	Surname464	3	8	5	6	1	4
Name465	Surname465	3	10	8	9	1	2
Name466	Surname466	2	5	8	5	4	10
Name467	Surname467	10	7	8	7	3	1
Name468	Surname468	10	7	3	4	1	4
Name469	Surname469	6	2	10	7	8	10
Name470	Surname470	3	8	6	7	9	3
Name471	Surname471	5	7	4	1	10	2
Name472	Surname472	9	8	7	9	5	1
Name473	Surname473	4	8	10	7	3	3
Name474	Surname474	8	4	1	8	4	1
Name475	Surname475	8	4	7	5	7	8
Name476	Surname476	5	1	2	3	5	5
Name477	Surname477	7	4	5	6	1	3
Name478	Surname478	1	2	7	10	4	8
Name479	Surname479	10	2	6	3	5	5
Name480	Surname480	2	4	5	7	9	9
Name481	Surname481	8	1	4	5	5	7
Name482	Surname482	8	2	9	2	3	2
Name483	Surname483	3	4	2	2	2	1
Name484	Surname484	9	10	2	1	10	8
Name485	Surname485	8	5	6	2	7	8
Name486	Surname486	9	4	10	4	2	4
Name487	Surname487	10	7	4	8	6	3
Name488	Surname488	1	8	2	8	1	7
Name489	Surname489	8	2	8	6	5	9
Name490	Surname490	2	8	6	3	2	8
Name491	Surname491	6	4	2	1	1	1
Name492	Surname492	6	1	1	8	9	7
Name493	Surname493	5	10	2	5	9	1
Name494	Surname494	9	10	10	8	10	10
Name495	Surname495	10	7	1	7	4	9
Name496	Surname496	1	4	7	10	5	3
Name497	Surname497	1	5	5	4	7	10
Name498	Surname498	2	9	10	2	2	9
Name499	Surname499	7	4	6	1	10	2
Name500	Surname500	1	9	3	3	7	9
Name501	Surname501	10	8	8	9	10	4
Name502	Surname502	1	6	7	4	10	8
Name503	Surname503	8	5	4	6	9	4
Name504	Surname504	4	4	7	2	1	5
Name505	Surname505	8	5	3	8	2	6
Name506	Surname506	8	3	3	8	1	4
Name507	Surname507	7	1	10	9	10	7
Name508	Surname508	5	1	3	10	1	4
Name509	Surname509	3	3	5	8	8	5
Name510	Surname510	6	4	2	4	4	5
Name511	Surname511	4	6	3	2	7	10
Name512	Surname512	9	9	5	2	5	6
Name513	Surname513	8	4	1	3	8	8
Name514	Surname514	8	1	3	1	1	9
Name515	Surname515	7	5	6	1	2	6
Name516	Surname516	8	4	3	8	10	2
Name517	Surname517	2	5	1	4	4	2
Name518	Surname518	6	9	4	1	6	2
Name519	Surname519	1	3	6	2	1	5
Name520	Surname520	1	7	5	9	10	6
Name521	Surname521	7	3	3	3	2	8
Name522	Surname522	5	8	9	7	1	1
Name523	Surname523	3	2	4	10	3	5
Name524	Surname524	2	6	5	1	7	7
Name525	Surname525	9	2	4	4	2	1
Name526	Surname526	6	9	10	4	9	10
Name527	Surname527	9	5	4	10	10	7
Name528	Surname528	10	8	8	3	6	3
Name529	Surname529	4	3	9	4	4	9
Name530	Surname530	6	8	9	9	2	4
Name531	Surname531	6	2	3	1	9	7
Name532	Surname532	6	6	4	10	6	4
Name533	Surname533	6	5	9	6	1	4
Name534	Surname534	6	1	9	5	4	6
Name535	Surname535	9	2	3	7	1	3
Name536	Surname536	3	2	7	6	1	2
Name537	Surname537	8	8	4	9	4	6
Name538	Surname538	2	4	3	2	10	5
Name539	Surname539	3	4	1	2	5	9
Name540	Surname540	7	7	2	4	9	8
Name541	Surname541	10	5	5	4	6	5
Name542	Surname542	5	3	8	8	6	7
Name543	Surname543	7	10	1	8	1	10
Name544	Surname544	9	7	8	4	3	1
Name545	Surname545	2	6	4	6	7	6
Name546	Surname546	5	7	9	2	6	9
Name547	Surname547	6	4	4	3	9	8
Name548	Surname548	7	10	7	5	7	4
Name549	Surname549	3	2	1	6	9	8
Name550	Surname550	1	1	4	8	4	5
Name551	Surname551	7	3	1	2	2	7
Name552	Surname552	6	4	5	10	6	4
Name553	Surname553	5	4	8	8	1	10
Name554	Surname554	2	6	5	1	1	8
Name555	Surname555	2	3	4	8	8	4
Name556	Surname556	4	4	10	2	6	9
Name557	Surname557	9	9	1	3	5	5
Name558	Surname558	4	4	7	8	7	7
Name559	Surname559	2	5	9	2	7	6
Name560	Surname560	10	7	9	8	2	10
Name561	Surname561	2	7	8	7	4	8
Name562	Surname562	2	3	8	10	5	8
Name563	Surname563	2	9	3	5	9	9
Name564	Surname564	2	7	3	1	5	9
Name565	Surname565	6	10	5	5	5	10
Name566	Surname566	10	5	6	4	3	2
Name567	Surname567	8	5	4	2	10	1
Name568	Surname568	8	4	9	5	3	7
Name569	Surname569	10	9	8	8	5	9
Name570	Surname570	8	9	4	3	2	10
Name571	Surname571	4	8	5	5	5	4
Name572	Surname572	6	2	4	3	9	1
Name573	Surname573	10	1	4	5	10	5
Name574	Surname574	5	4	10	9	6	4
Name575	Surname575	9	2	3	4	9	10
Name576	Surname576	9	6	2	1	7	2
Name577	Surname577	9	2	9	8	8	3
Name578	Surname578	9	3	4	7	7	10
Name579	Surname579	7	6	2	4	9	1
Name580	Surname580	8	7	2	7	1	4
Name581	Surname581	2	1	5	4	2	6
Name582	Surname582	9	10	6	5	6	8
Name583	Surname583	5	5	7	8	8	6
Name584	Surname584	3	7	9	9	10	2
Name585	Surname585	10	9	1	6	1	3
Name586	Surname586	10	7	1	3	3	10
Name587	Surname587	3	7	8	4	7	1
Name588	Surname588	6	3	2	8	2	2
Name589	Surname589	6	4	3	7	7	9
Name590	Surname590	2	6	9	7	10	5
Name591	Surname591	7	7	3	9	9	2
Name592	Surname592	7	9	8	9	10	8
Name593	Surname593	10	1	6	9	3	7
Name594	Surname594	10	8	2	8	6	2
Name595	Surname595	7	5	5	10	10	7
Name596	Surname596	2	6	6	7	1	8
Name597	Surname597	6	1	8	10	6	7
Name598	Surname598	9	6	4	8	1	8
Name599	Surname599	6	3	4	1	5	10
Name600	Surname600	9	6	9	1	1	10
Name601	Surname601	8	8	5	5	8	6
Name602	Surname602	10	3	4	3	3	4
Name603	Surname603	2	10	8	4	1	5
Name604	Surname604	4	8	9	1	9	9
Name605	Surname605	2	3	8	5	10	2
Name606	Surname606	10	4	7	3	1	8
Name607	Surname607	3	1	1	6	4	6
Name608	Surname608	8	8	5	5	4	4
Name609	Surname609	9	7	5	5	6	10
Name610	Surname610	3	5	5	3	5	3
Name611	Surname611	6	4	3	4	5	1
Name612	Surname612	3	4	8	3	1	8
Name613	Surname613	8	7	2	8	6	7
Name614	Surname614	8	10	1	9	6	8
Name615	Surname615	5	3	6	7	6	9
Name616	Surname616	9	3	9	6	3	8
Name617	Surname617	7	8	4	4	6	7
Name618	Surname618	10	5	5	6	10	7
Name619	Surname619	10	3	10	6	7	2
Name620	Surname620	8	9	4	8	3	7
Name621	Surname621	10	2	1	1	5	6
Name622	Surname622	7	4	7	5	7	8
Name623	Surname623	7	4	10	2	5	8
Name624	Surname624	6	1	1	6	6	9
Name625	Surname625	9	7	10	9	2	6
Name626	Surname626	7	1	7	1	5	8
Name627	Surname627	9	7	5	1	4	5
Name628	Surname628	2	1	1	5	4	7
Name629	Surname629	2	1	6	7	9	7
Name630	Surname630	8	7	8	9	10	5
Name631	Surname631	6	2	1	3	9	7
Name632	Surname632	8	1	8	8	5	7
Name633	Surname633	3	3	10	7	6	7
Name634	Surname634	5	1	7	10	7	3
Name635	Surname635	10	2	3	7	5	8
Name636	Surname636	1	9	3	5	2	1
Name637	Surname637	1	4	7	2	8	10
Name638	Surname638	9	1	3	10	9	10
Name639	Surname639	8	5	8	8	6	4
Name640	Surname640	10	2	3	10	7	2
Name641	Surname641	2	5	10	9	7	10
Name642	Surname642	8	5	9	3	6	9
Name643	Surname643	3	6	7	2	10	4
Name644	Surname644	8	2	4	3	1	7
Name645	Surname645	9	10	10	4	10	2
Name646	Surname646	2	4	5	9	3	5
Name647	Surname647	10	2	5	4	10	5
Name648	Surname648	10	6	3	2	7	8
Name649	Surname649	3	6	2	9	1	8
Name650	Surname650	6	8	5	3	10	2
Name651	Surname651	9	5	5	9	2	3
Name652	Surname652	9	5	7	8	4	2
Name653	Surname653	6	9	6	5	3	7
Name654	Surname654	7	5	7	2	5	1
Name655	Surname655	5	7	7	8	6	9
Name656	Surname656	2	2	6	2	2	10
Name657	Surname657	1	8	7	4	5	5
Name658	Surname658	6	8	3	7	6	7
Name659	Surname659	3	10	7	6	4	3
Name660	Surname660	2	7	4	5	10	1
Name661	Surname661	6	7	6	1	7	6
Name662	Surname662	4	4	3	7	7	1
